NumID,ID,Text,E1,E2,E3,E4,E5,E6,E7,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,ZE1,ZE2,ZE3,ZE4,ZE5,ZE6,ZE7,ZCH1,ZCH2,ZCH3,ZCH4,ZCH5,ZCH6,ZCH7,ZCH8,ZCH9,ZCH10,ZCH11,AVG_Z_SCORE,AVG_Z_SCORE_ENGLISH,AVG_Z_SCORE_CHINESE
1001,2320,Hmm...the picture was taken on my camera by someone else. To whom does the copyright belong?,9,0,1,1,3,3,2,2,8,1,,-6,10,11,1,,-5,,1.060491585,0.353706716,0.359294365,0.35016033,0.587103971,1.15564603,0.733368532,0.150543066,0.80301466,0.126173986,blank,-1.192312057,1.053336357,1.537498228,0.332970436,blank,-0.471104888,blank,0.462659421,0.657110218,0.292514974
1002,4026,"My question is ""Why?"" I am doing all the citations correctly and this still appears often. Can anyone tell me what I'm doing wrong?",7,-2,-1,0,4,-7,1,-10,4,-2,,-3,4,6,-7,,-11,,0.738984359,-0.111085289,-0.693891522,-0.107924874,0.810218652,-1.777765528,0.205385428,-2.880525385,-0.022919678,-0.718420608,blank,-0.603499496,-1.106467533,0.35607958,-1.168671985,blank,-1.234852342,blank,-0.554357081,-0.133725539,-0.922409681
1003,4767,I noticed you removed Pero Defformero from the list of folk metal bands and artists. What is the problem with this band?,-4,-3,0,0,-4,2,1,1,6,-3,,-9,7,4,9,,-11,,-1.029305384,-0.343481292,-0.167298578,-0.107924874,-0.974698795,0.862304874,0.205385428,-0.102045971,0.390047491,-0.99995214,blank,-1.781124618,-0.026565588,-0.116487879,1.834612858,blank,-1.234852342,blank,-0.239425787,-0.222145517,-0.254546024
1004,5692,I don't see a connection between the 'url' and the 'url' articles that would warrant See Also links between the two.  Could you explain that to me?,0,-1,1,3,4,1,0,-2,6,7,,4,1,4,0,,-5,,-0.386290932,0.121310713,0.359294365,1.266330738,0.810218652,0.568963718,-0.322597677,-0.859813084,0.390047491,1.815363176,blank,0.770396481,-2.186369478,-0.116487879,0.145265134,blank,-0.471104888,blank,0.126968435,0.345318511,-0.064087881
1006,17795,"Hello, Jeff79. Would you weigh in on the above linked discussion regarding an edit you made?",6,-1,1,1,3,4,1,4,8,2,,-1,2,,5,,4,,0.578230746,0.121310713,0.359294365,0.35016033,0.587103971,1.448987186,0.205385428,0.655721142,0.80301466,0.407705518,blank,-0.210957788,-1.826402163,blank,1.083791647,blank,0.674516293,blank,0.374133003,0.521496106,0.226769901
1007,19520,Thanks for change to Hugh de Grandmesnil - I am (It is) very short of refs for that article. Could you suggest one for your addition?,7,,-1,2,1,1,0,4,7,8,,6,13,4,13,,6,,0.738984359,blank,-0.693891522,0.808245534,0.14087461,0.568963718,-0.322597677,0.655721142,0.596531076,2.096894707,blank,1.162938188,2.133238302,-0.116487879,2.585434069,blank,0.929098778,blank,0.805996243,0.20676317,1.255421048
1008,20833,"Darkstar, I am completely baffled by this, I don't know where you are coming from or what your complaint is, and you are one of the writers that I most often agree with. Can you explain?",-2,-6,-2,-1,-5,-8,0,-6,8,-2,,0,13,6,2,,-11,,-0.707798158,-1.0406693,-1.220484466,-0.566010078,-1.197813476,-2.071106684,-0.322597677,-1.870169235,0.80301466,-0.718420608,blank,-0.014686934,2.133238302,0.35607958,0.520675739,blank,-1.234852342,blank,-0.476773378,-1.018068548,-0.003140105
1009,21812,These clickable images are great! Can you make one for the 10^-6 to 10^5 range too?,10,4,3,2,3,4,2,1,11,-2,,3,1,7,0,,5,,1.221245197,1.283290727,1.412480253,0.808245534,0.587103971,1.448987186,0.733368532,-0.102045971,1.422465414,-0.718420608,blank,0.574125627,-2.186369478,0.59236331,0.145265134,blank,0.801807536,blank,0.534927491,1.070674486,0.06614887
1010,21885,Interesting illustration on the PrIze law page of a Zeppelin taking a Norwegian vessel as a prize in 1917.  I wonder whether you could point me to a source for more information on this incident?,8,4,1,1,6,5,1,4,9,7,,-5,9,3,4,,-2,,0.899737972,1.283290727,0.359294365,0.35016033,1.256448014,1.742328341,0.205385428,0.655721142,1.009498245,1.815363176,blank,-0.996041203,0.693369042,-0.352771608,0.896086344,blank,-0.089231161,blank,0.648575944,0.870949311,0.453999247
1011,25456,My concern is that you are proceeding at such a rate of knots that it going to be difficult to later unpick and I can see some disagreement on this.  Why not seek a consensus?,0,-5,1,0,0,-2,-1,0,6,-5,,-6,6,7,4,,-10,,-0.386290932,-0.808273298,0.359294365,-0.107924874,-0.082240071,-0.311059749,-0.850580781,-0.354635009,0.390047491,-1.563015203,blank,-1.192312057,-0.386532903,0.59236331,0.896086344,blank,-1.1075611,blank,-0.327508964,-0.312439334,-0.340694891
